osm_id,N,10,0;aeroway,C,254;amenity,C,254;z_order,N,10,0;Coord_X,C,50;Coord_Y,C,50;;;;;;
1078409380;;;;;;;;recycling;0;3,7964134995;43,646512496
281558032;;;;;;;;recycling;0;3,8169257995;43,619736196
1329597479;;;;;;;;recycling;0;3,8207957995;43,645066296
1575980533;;;;;;;;recycling;0;3,8337585995;43,634148196
234642087;;;;;;;;recycling;0;3,8338855995;43,5714214961
281587230;;;;;;;;recycling;0;3,8408386995;43,600086296
623878803;;;;;;;;recycling;0;3,8429702995;43,640214296
623878961;;;;;;;;recycling;0;3,8452554995;43,640755896
775116474;;;;;;;;recycling;0;3,8506511995;43,639026196
440971002;;;;;;;;recycling;0;3,8576737995;43,586309296
440971001;;;;;;;;recycling;0;3,8593903995;43,585295896
310242784;;;;;;;;recycling;0;3,8621471995;43,611765996
251353918;;;;;;;;recycling;0;3,8661476995;43,613620496
1387799994;;;;;;;;recycling;0;3,8676439995;43,617552696
305442044;;;;;;;;recycling;0;3,8677187995;43,603444896
126671505;;;;;;;;recycling;0;3,8689967995;43,624067096
1342189481;;;;;;;;recycling;0;3,8690009995;43,620274496
1263318177;;;;;;;;recycling;0;3,8706278995;43,598236596
248093015;;;;;;;;recycling;0;3,8707694995;43,616239096
105440533;;;;;;;;recycling;0;3,8715675995;43,628446196
500956860;;;;;;;;recycling;0;3,8718176995;43,603119596
1354577228;;;;;;;;recycling;0;3,8724581995;43,623059596
106000939;;;;;;;;recycling;0;3,8726868995;43,623011896
579783678;;;;;;;;recycling;0;3,8731716995;43,617161796
105440531;;;;;;;;recycling;0;3,8735369995;43,627961496
105440514;;;;;;;;recycling;0;3,8753651995;43,626731396
105965590;;;;;;;;recycling;0;3,8759427995;43,620555196
105964242;;;;;;;;recycling;0;3,8771653995;43,621798696
130255822;;;;;;;;recycling;0;3,8777202995;43,624174996
70945257;;;;;;;;recycling;0;3,8781315995;43,629483896
105441203;;;;;;;;recycling;0;3,8783846995;43,631976696
71249464;;;;;;;;recycling;0;3,8785853995;43,635079296
1165308454;;;;;;;;recycling;0;3,8786944995;43,609660996
635872127;;;;;;;;recycling;0;3,8790746995;43,618568296
130800981;;;;;;;;recycling;0;3,8797604995;43,621628696
579739330;;;;;;;;recycling;0;3,8801729995;43,616619996
69161418;;;;;;;;recycling;0;3,8813714995;43,633167396
1575489414;;;;;;;;recycling;0;3,8813820995;43,628157396
479160975;;;;;;;;recycling;0;3,8814349995;43,612229396
70873887;;;;;;;;recycling;0;3,8818726995;43,627245496
1575491540;;;;;;;;recycling;0;3,8818863995;43,627225496
479160971;;;;;;;;recycling;0;3,8839741995;43,616478096
69101752;;;;;;;;recycling;0;3,8839831995;43,631456596
70941165;;;;;;;;recycling;0;3,8848698995;43,630377596
256110629;;;;;;;;recycling;0;3,8849449995;43,606387396
500948843;;;;;;;;recycling;0;3,8865917995;43,595832896
281265129;;;;;;;;recycling;0;3,8874169995;43,600021596
267845880;;;;;;;;recycling;0;3,8884703995;43,607034696
281766358;;;;;;;;recycling;0;3,8886592995;43,607855796
130440189;;;;;;;;recycling;0;3,8888991995;43,625767796
265390171;;;;;;;;recycling;0;3,8938019995;43,606054796
267855579;;;;;;;;recycling;0;3,8966392995;43,606242796
280708479;;;;;;;;recycling;0;3,8985452995;43,608645196
280973245;;;;;;;;recycling;0;3,8988445995;43,606905296
280973178;;;;;;;;recycling;0;3,8991707995;43,606035196
280931788;;;;;;;;recycling;0;3,9027197995;43,617281196
1530396304;;;;;;;;recycling;0;3,9060650995;43,605338796
1166359836;;;;;;;;recycling;0;3,9115671995;43,605908996
281675565;;;;;;;;recycling;0;3,9142542995;43,609029696
